method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.2186987919994862,0.918819332411286,0.9200779727095516,133,,1,7,sqrt,1e-05,133,23.36842105263158,34,47871,359.9323308270677
grid,1,0.2167958329955581,0.918819332411286,0.9200779727095516,133,,1,7,sqrt,0.0,133,23.383458646616543,34,49479,372.02255639097746
grid,1,0.2113522919971728,0.9187367302105148,0.9200779727095516,133,20.0,1,2,sqrt,0.001,133,19.55639097744361,20,39661,298.203007518797
grid,1,0.2890290840005036,0.917961452531211,0.9181286549707602,50,20.0,1,2,0.5,1e-05,50,20.0,20,14636,292.72
grid,1,0.2849142080085585,0.917961452531211,0.9181286549707602,50,20.0,1,2,0.5,0.0001,50,20.0,20,14636,292.72
grid,1,0.2728136250079842,0.917961452531211,0.9181286549707602,50,20.0,1,2,0.5,0.0,50,20.0,20,15646,312.92
grid,1,0.262639084001421,0.9178190417696376,0.9181286549707602,50,20.0,1,5,0.5,0.0001,50,20.0,20,11820,236.4
grid,1,0.2595330839976668,0.9178190417696376,0.9181286549707602,50,20.0,1,5,0.5,1e-05,50,20.0,20,11822,236.44
grid,1,0.2612884160043904,0.9178190417696376,0.9181286549707602,50,20.0,1,5,0.5,0.0,50,20.0,20,12428,248.56
grid,1,0.2743077499908395,0.917660563302762,0.9181286549707602,50,,1,7,0.5,0.0001,50,30.06,36,12480,249.6
grid,1,0.2712544999958481,0.917660563302762,0.9181286549707602,50,,1,7,0.5,1e-05,50,30.08,36,12484,249.68
grid,1,0.2898705419938778,0.917660563302762,0.9181286549707602,50,,1,7,0.5,0.0,50,30.14,36,13074,261.48
grid,1,0.2209949160023825,0.9167654786639412,0.9181286549707602,133,20.0,1,5,sqrt,0.0001,133,19.909774436090224,20,52567,395.2406015037594
grid,1,0.2185989999998128,0.9167654786639412,0.9181286549707602,133,20.0,1,5,sqrt,1e-05,133,19.917293233082702,20,52645,395.82706766917295
grid,1,0.2258660000079544,0.9167654786639412,0.9181286549707602,133,20.0,1,5,sqrt,0.0,133,19.917293233082702,20,54771,411.812030075188
grid,1,0.6708113749918994,0.9155212922430214,0.9161793372319688,133,20.0,1,2,0.5,1e-05,133,20.0,20,38535,289.7368421052632
grid,1,0.6487423750077141,0.9155212922430214,0.9161793372319688,133,20.0,1,2,0.5,0.0001,133,20.0,20,38535,289.7368421052632
grid,1,0.6465557500050636,0.9155212922430214,0.9161793372319688,133,20.0,1,2,0.5,0.0,133,20.0,20,41147,309.37593984962405
grid,1,0.0816554170014569,0.9153475987754,0.9161793372319688,50,,1,7,log2,1e-05,50,22.9,29,20328,406.56
grid,1,0.0828277499967953,0.9153475987754,0.9161793372319688,50,,1,7,log2,0.0,50,23.0,29,21018,420.36
grid,1,0.2157505419891094,0.9152824962302424,0.9161793372319688,133,,1,2,sqrt,0.001,133,21.827067669172937,32,40913,307.61654135338347
grid,1,0.3431175830046413,0.9152243266108446,0.9161793372319688,217,16.0,1,5,sqrt,0.0001,217,16.0,16,76105,350.7142857142857
grid,1,0.3702731659868732,0.9152243266108446,0.9161793372319688,217,16.0,1,5,sqrt,1e-05,217,16.0,16,76257,351.4147465437788
grid,1,0.340168458991684,0.9152243266108446,0.9161793372319688,217,16.0,1,5,sqrt,0.0,217,16.0,16,79335,365.5990783410138
grid,1,0.2985694579983828,0.9149508856663886,0.9161793372319688,50,,1,5,0.5,0.0001,50,29.62,39,13826,276.52
grid,1,0.2629119159973925,0.9149508856663886,0.9161793372319688,50,,1,5,0.5,1e-05,50,29.64,39,13830,276.6
grid,1,0.2751620420021936,0.9149508856663886,0.9161793372319688,50,,1,5,0.5,0.0,50,29.68,39,14500,290.0
grid,1,0.650278041997808,0.9149263875312698,0.9161793372319688,133,,1,7,0.5,0.0001,133,29.30827067669173,39,33077,248.69924812030075
grid,1,0.6668515829951502,0.9149263875312698,0.9161793372319688,133,,1,7,0.5,1e-05,133,29.31578947368421,39,33101,248.8796992481203
grid,1,0.65561400000297,0.9149263875312698,0.9161793372319688,133,,1,7,0.5,0.0,133,29.360902255639097,39,34649,260.5187969924812
grid,1,0.34049750000122,0.9148933433078166,0.9161793372319688,217,12.0,1,2,sqrt,0.0001,217,12.0,12,69975,322.46543778801845
grid,1,0.3382267089909874,0.9148933433078166,0.9161793372319688,217,12.0,1,2,sqrt,1e-05,217,12.0,12,70045,322.78801843317973
grid,1,0.3234670840029139,0.9148933433078166,0.9161793372319688,217,12.0,1,2,sqrt,0.0,217,12.0,12,73923,340.6589861751152
grid,1,0.0962458340072771,0.9147654990427352,0.9161793372319688,50,20.0,1,5,sqrt,0.0001,50,19.84,20,19382,387.64
grid,1,0.0936735419963952,0.9147654990427352,0.9161793372319688,50,20.0,1,5,sqrt,1e-05,50,19.86,20,19406,388.12
grid,1,0.094067999991239,0.9147654990427352,0.9161793372319688,50,20.0,1,5,sqrt,0.0,50,19.86,20,20184,403.68
