method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.09613970801001415,0.9191691151483682,0.9200779727095516,50,20.0,1,2,sqrt,0.0001,50,19.96,20,25446,508.92
grid,1,0.0950695000065025,0.9191691151483682,0.9200779727095516,50,20.0,1,2,sqrt,1e-05,50,19.96,20,25448,508.96
grid,1,0.09634820799692534,0.9191691151483682,0.9200779727095516,50,20.0,1,2,sqrt,0.0,50,19.96,20,27102,542.04
grid,1,0.657276208003168,0.9189758562038137,0.9200779727095516,133,,1,2,0.5,1e-05,133,31.60902255639098,40,48533,364.90977443609023
grid,1,0.6635290419944795,0.9189758562038137,0.9200779727095516,133,,1,2,0.5,0.0001,133,31.60902255639098,40,48533,364.90977443609023
grid,1,0.6861999589891639,0.9189758562038137,0.9200779727095516,133,,1,2,0.5,0.0,133,31.68421052631579,40,51845,389.812030075188
grid,1,0.21763241599546745,0.9188193324112859,0.9200779727095516,133,,1,7,sqrt,0.0001,133,23.360902255639097,34,47641,358.203007518797
grid,1,0.21869879199948628,0.9188193324112859,0.9200779727095516,133,,1,7,sqrt,1e-05,133,23.36842105263158,34,47871,359.9323308270677
grid,1,0.21679583299555816,0.9188193324112859,0.9200779727095516,133,,1,7,sqrt,0.0,133,23.383458646616543,34,49479,372.02255639097746
grid,1,0.21135229199717287,0.9187367302105148,0.9200779727095516,133,20.0,1,2,sqrt,0.001,133,19.55639097744361,20,39661,298.203007518797
grid,1,0.28902908400050364,0.917961452531211,0.9181286549707602,50,20.0,1,2,0.5,1e-05,50,20.0,20,14636,292.72
grid,1,0.2849142080085585,0.917961452531211,0.9181286549707602,50,20.0,1,2,0.5,0.0001,50,20.0,20,14636,292.72
grid,1,0.27281362500798423,0.917961452531211,0.9181286549707602,50,20.0,1,2,0.5,0.0,50,20.0,20,15646,312.92
grid,1,0.262639084001421,0.9178190417696375,0.9181286549707602,50,20.0,1,5,0.5,0.0001,50,20.0,20,11820,236.4
